Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide



DATE,POLLUTANT,SHATIN,TSUEN WAN,CENTRAL,EASTERN,KWUN TONG,TUEN MUN,TUNG CHUNG,SHAM SHUI PO,SOUTHERN,YUEN LONG,CENTRAL/WESTERN,NORTH,KWAI CHUNG,TAP MUN,TSEUNG KWAN O,TAI PO,MONG KOK,CAUSEWAY BAY
01-01-2010,Carbon Monoxide,N.A.,60,65,N.A.,N.A.,N.A.,76,N.A.,N.A.,70,N.A.,N.A.,N.A.,74,N.A.,N.A.,81,107
01-01-2010,Fine Suspended Particulates ,N.A.,52,51,N.A.,N.A.,N.A.,49,N.A.,N.A.,51,N.A.,N.A.,N.A.,45,N.A.,N.A.,N.A.,N.A.
01-01-2010,Nitrogen Dioxide,28,56,92,49,50,N.A.,37,65,N.A.,49,45,N.A.,55,12,N.A.,42,117,135
01-01-2010,Nitrogen Oxides,33,79,166,N.A.,65,N.A.,45,94,N.A.,59,56,N.A.,84,15,N.A.,N.A.,276,315
01-01-2010,Ozone,70,44,N.A.,46,56,N.A.,64,44,N.A.,50,51,N.A.,51,85,N.A.,64,N.A.,N.A.
01-01-2010,Respirable Suspended Particulates,89,90,98,94,92,N.A.,88,90,N.A.,82,90,N.A.,87,90,N.A.,88,97,108
01-01-2010,Sulphur Dioxide,12,9,14,14,13,N.A.,11,13,N.A.,9,14,N.A.,11,14,N.A.,14,11,10
02-01-2010,Carbon Monoxide,N.A.,77,108,N.A.,N.A.,N.A.,105,N.A.,N.A.,90,N.A.,N.A.,N.A.,80,N.A.,N.A.,85,142
02-01-2010,Fine Suspended Particulates ,N.A.,51,55,N.A.,N.A.,N.A.,54,N.A.,N.A.,51,N.A.,N.A.,N.A.,30,N.A.,N.A.,N.A.,N.A.
02-01-2010,Nitrogen Dioxide,44,68,121,65,62,N.A.,61,73,N.A.,62,68,N.A.,72,14,N.A.,52,103,133
02-01-2010,Nitrogen Oxides,60,149,348,N.A.,114,N.A.,107,149,N.A.,109,139,N.A.,168,17,N.A.,N.A.,301,414
02-01-2010,Ozone,31,16,N.A.,57,24,N.A.,21,20,N.A.,15,16,N.A.,19,56,N.A.,30,N.A.,N.A.
02-01-2010,Respirable Suspended Particulates,59,72,88,63,62,N.A.,82,67,N.A.,71,79,N.A.,71,46,N.A.,64,75,102
02-01-2010,Sulphur Dioxide,7,15,17,21,10,N.A.,16,12,N.A.,8,19,N.A.,12,9,N.A.,10,14,10
03-01-2010,Carbon Monoxide,N.A.,55,59,N.A.,N.A.,N.A.,81,N.A.,N.A.,68,N.A.,N.A.,N.A.,79,N.A.,N.A.,83,94
03-01-2010,Fine Suspended Particulates ,N.A.,15,18,N.A.,N.A.,N.A.,14,N.A.,N.A.,16,N.A.,N.A.,N.A.,12,N.A.,N.A.,N.A.,N.A.
03-01-2010,Nitrogen Dioxide,33,59,97,55,53,N.A.,59,68,N.A.,46,53,N.A.,58,9,N.A.,45,111,111
03-01-2010,Nitrogen Oxides,42,90,196,N.A.,79,N.A.,90,107,N.A.,63,70,N.A.,101,12,N.A.,N.A.,296,258
03-01-2010,Ozone,45,24,N.A.,58,37,N.A.,18,26,N.A.,26,29,N.A.,30,63,N.A.,37,N.A.,N.A.
03-01-2010,Respirable Suspended Particulates,15,19,27,56,17,N.A.,18,19,N.A.,18,14,N.A.,17,17,N.A.,17,25,33
03-01-2010,Sulphur Dioxide,6,4,8,14,6,N.A.,7,8,N.A.,3,8,N.A.,5,9,N.A.,8,7,3
04-01-2010,Carbon Monoxide,N.A.,66,108,N.A.,N.A.,N.A.,84,N.A.,N.A.,79,N.A.,N.A.,N.A.,87,N.A.,N.A.,110,99
04-01-2010,Fine Suspended Particulates ,N.A.,36,50,N.A.,N.A.,N.A.,26,N.A.,N.A.,39,N.A.,N.A.,N.A.,38,N.A.,N.A.,N.A.,N.A.
04-01-2010,Nitrogen Dioxide,42,81,137,68,71,N.A.,68,93,N.A.,73,83,N.A.,79,9,N.A.,55,129,134
04-01-2010,Nitrogen Oxides,53,128,300,N.A.,98,N.A.,105,136,N.A.,120,132,N.A.,135,11,N.A.,N.A.,274,259
04-01-2010,Ozone,65,32,N.A.,51,53,N.A.,30,36,N.A.,29,34,N.A.,41,86,N.A.,54,N.A.,N.A.
04-01-2010,Respirable Suspended Particulates,48,48,72,60,63,N.A.,35,59,N.A.,49,64,N.A.,54,52,N.A.,47,61,84
04-01-2010,Sulphur Dioxide,6,6,12,10,8,N.A.,6,9,N.A.,7,10,N.A.,6,8,N.A.,8,9,5
05-01-2010,Carbon Monoxide,N.A.,66,105,N.A.,N.A.,N.A.,94,N.A.,N.A.,88,N.A.,N.A.,N.A.,96,N.A.,N.A.,138,100
05-01-2010,Fine Suspended Particulates ,N.A.,54,59,N.A.,N.A.,N.A.,50,N.A.,N.A.,60,N.A.,N.A.,N.A.,53,N.A.,N.A.,N.A.,N.A.
05-01-2010,Nitrogen Dioxide,36,53,104,55,48,N.A.,36,70,N.A.,56,61,N.A.,64,9,N.A.,42,116,98
05-01-2010,Nitrogen Oxides,42,74,230,N.A.,65,N.A.,46,105,N.A.,68,98,N.A.,104,11,N.A.,N.A.,290,191
05-01-2010,Ozone,58,46,N.A.,39,54,N.A.,61,39,N.A.,43,39,N.A.,43,78,N.A.,56,N.A.,N.A.
05-01-2010,Respirable Suspended Particulates,75,73,85,81,82,N.A.,69,75,N.A.,76,75,N.A.,74,75,N.A.,75,83,100
05-01-2010,Sulphur Dioxide,7,6,11,10,9,N.A.,6,9,N.A.,6,10,N.A.,7,8,N.A.,10,10,6
06-01-2010,Carbon Monoxide,N.A.,79,110,N.A.,N.A.,N.A.,113,N.A.,N.A.,109,N.A.,N.A.,N.A.,112,N.A.,N.A.,140,134
06-01-2010,Fine Suspended Particulates ,N.A.,N.A.,36,N.A.,N.A.,N.A.,31,N.A.,N.A.,38,N.A.,N.A.,N.A.,28,N.A.,N.A.,N.A.,N.A.
06-01-2010,Nitrogen Dioxide,36,47,104,47,50,N.A.,45,57,N.A.,45,55,N.A.,48,17,N.A.,43,83,108
06-01-2010,Nitrogen Oxides,54,104,364,N.A.,112,N.A.,88,122,N.A.,83,144,N.A.,123,20,N.A.,N.A.,276,339
06-01-2010,Ozone,17,13,N.A.,15,15,N.A.,16,14,N.A.,14,24,N.A.,18,32,N.A.,22,N.A.,N.A.
06-01-2010,Respirable Suspended Particulates,42,42,52,39,44,N.A.,45,40,N.A.,55,46,N.A.,42,41,N.A.,47,48,61
06-01-2010,Sulphur Dioxide,5,4,10,8,7,N.A.,6,7,N.A.,6,10,N.A.,5,7,N.A.,7,8,5
07-01-2010,Carbon Monoxide,N.A.,N.A.,138,N.A.,N.A.,N.A.,141,N.A.,N.A.,132,N.A.,N.A.,N.A.,124,N.A.,N.A.,148,157
07-01-2010,Fine Suspended Particulates ,N.A.,N.A.,26,N.A.,N.A.,N.A.,26,N.A.,N.A.,33,N.A.,N.A.,N.A.,17,N.A.,N.A.,N.A.,N.A.
07-01-2010,Nitrogen Dioxide,37,N.A.,104,45,52,N.A.,41,47,N.A.,40,48,N.A.,46,19,N.A.,41,70,98
07-01-2010,Nitrogen Oxides,78,N.A.,408,N.A.,142,N.A.,115,121,N.A.,111,129,N.A.,129,24,N.A.,N.A.,269,349
07-01-2010,Ozone,3,N.A.,N.A.,6,5,N.A.,6,7,N.A.,6,15,N.A.,5,14,N.A.,21,N.A.,N.A.
07-01-2010,Respirable Suspended Particulates,29,29,38,22,28,N.A.,41,26,N.A.,N.A.,29,N.A.,25,23,N.A.,36,34,43
07-01-2010,Sulphur Dioxide,6,N.A.,16,10,10,N.A.,7,8,N.A.,9,11,N.A.,6,7,N.A.,6,9,7
08-01-2010,Carbon Monoxide,N.A.,111,109,N.A.,N.A.,N.A.,137,N.A.,N.A.,130,N.A.,N.A.,N.A.,121,N.A.,N.A.,147,174
08-01-2010,Fine Suspended Particulates ,N.A.,18,23,N.A.,N.A.,N.A.,27,N.A.,N.A.,31,N.A.,N.A.,N.A.,12,N.A.,N.A.,N.A.,N.A.
08-01-2010,Nitrogen Dioxide,41,44,117,54,60,N.A.,57,56,N.A.,50,58,N.A.,57,13,N.A.,49,74,134
08-01-2010,Nitrogen Oxides,69,96,438,N.A.,158,N.A.,131,127,N.A.,107,154,N.A.,164,17,N.A.,N.A.,241,494
08-01-2010,Ozone,10,10,N.A.,9,6,N.A.,8,11,N.A.,8,10,N.A.,8,27,N.A.,24,N.A.,N.A.
08-01-2010,Respirable Suspended Particulates,25,28,37,21,26,N.A.,46,24,N.A.,48,29,N.A.,28,19,N.A.,34,32,43
08-01-2010,Sulphur Dioxide,7,6,15,10,8,N.A.,18,9,N.A.,12,18,N.A.,10,7,N.A.,8,9,12
09-01-2010,Carbon Monoxide,N.A.,102,64,N.A.,N.A.,N.A.,101,N.A.,N.A.,107,N.A.,N.A.,N.A.,100,N.A.,N.A.,147,115
09-01-2010,Fine Suspended Particulates ,N.A.,28,31,N.A.,N.A.,N.A.,33,N.A.,N.A.,37,N.A.,N.A.,N.A.,25,N.A.,N.A.,N.A.,N.A.
09-01-2010,Nitrogen Dioxide,38,64,107,59,55,N.A.,60,72,N.A.,59,65,N.A.,62,10,N.A.,51,122,101
09-01-2010,Nitrogen Oxides,52,107,249,N.A.,90,N.A.,89,126,N.A.,110,111,N.A.,108,12,N.A.,N.A.,361,246
09-01-2010,Ozone,40,23,N.A.,24,31,N.A.,27,21,N.A.,16,21,N.A.,25,72,N.A.,40,N.A.,N.A.
09-01-2010,Respirable Suspended Particulates,38,39,47,37,40,N.A.,51,42,N.A.,53,43,N.A.,38,38,N.A.,40,50,58
09-01-2010,Sulphur Dioxide,8,10,5,9,9,N.A.,9,11,N.A.,7,10,N.A.,7,10,N.A.,8,11,8
10-01-2010,Carbon Monoxide,N.A.,73,21,N.A.,N.A.,N.A.,71,N.A.,N.A.,72,N.A.,N.A.,N.A.,83,N.A.,N.A.,124,93
10-01-2010,Fine Suspended Particulates ,N.A.,37,36,N.A.,N.A.,N.A.,34,N.A.,N.A.,40,N.A.,N.A.,N.A.,33,N.A.,N.A.,N.A.,N.A.
10-01-2010,Nitrogen Dioxide,32,57,96,56,53,N.A.,35,72,N.A.,50,56,N.A.,56,9,N.A.,45,120,115
10-01-2010,Nitrogen Oxides,37,80,161,N.A.,70,N.A.,42,109,N.A.,68,71,N.A.,87,11,N.A.,N.A.,287,237
10-01-2010,Ozone,65,48,N.A.,44,53,N.A.,65,37,N.A.,46,46,N.A.,49,86,N.A.,58,N.A.,N.A.
10-01-2010,Respirable Suspended Particulates,47,51,55,48,49,N.A.,47,51,N.A.,47,50,N.A.,49,49,N.A.,45,57,67
10-01-2010,Sulphur Dioxide,8,9,N.A.,9,10,N.A.,7,10,N.A.,5,10,N.A.,7,9,N.A.,9,9,8
11-01-2010,Carbon Monoxide,N.A.,119,127,N.A.,N.A.,N.A.,147,N.A.,N.A.,129,N.A.,N.A.,N.A.,119,N.A.,N.A.,149,173
11-01-2010,Fine Suspended Particulates ,N.A.,21,25,N.A.,N.A.,N.A.,26,N.A.,N.A.,30,N.A.,N.A.,N.A.,21,N.A.,N.A.,N.A.,N.A.
11-01-2010,Nitrogen Dioxide,49,55,119,60,63,N.A.,50,59,N.A.,52,55,N.A.,60,18,N.A.,56,83,115
11-01-2010,Nitrogen Oxides,79,136,455,N.A.,166,N.A.,123,137,N.A.,118,136,N.A.,177,20,N.A.,N.A.,271,417
11-01-2010,Ozone,11,14,N.A.,13,12,N.A.,9,14,N.A.,7,15,N.A.,11,34,N.A.,18,N.A.,N.A.
11-01-2010,Respirable Suspended Particulates,24,27,35,24,28,N.A.,36,25,N.A.,35,25,N.A.,28,24,N.A.,25,34,46
11-01-2010,Sulphur Dioxide,8,23,23,10,12,N.A.,24,14,N.A.,14,21,N.A.,13,7,N.A.,8,15,16
12-01-2010,Carbon Monoxide,N.A.,123,119,N.A.,N.A.,N.A.,127,N.A.,N.A.,123,N.A.,N.A.,N.A.,130,N.A.,N.A.,139,153
