gml_id,GMID,Dataset,FacilityName,Address,Dataset_tc,FacilityName_tc,Address_tc,TypesofAirQualityMonitoringStation,TypesofAirQualityMonitoringStation_tc,MonitoringStationWebsite,MonitoringStationPast24HrPCWebsite,latitude,longitude,NORTHING,EASTING,LastUpdate,fid,geometry
AQMN_JMLh4tvtc5,JMLh4tvtc5,Air Quality Monitoring Network of Hong Kong,Southern Air Quality Monitoring Station,"No.1 Aberdeen Praya Road, Hong Kong.",香港空氣質素監測網絡,南區空氣質素監測站,香港香港仔海傍道1號,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=1,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=1,22.24746092,114.1601401,812078.0,834543.0,2020-07-10 03:33:07+00:00,1,POINT (114.16014 22.247461)
AQMN_Qfq48JO0D5,Qfq48JO0D5,Air Quality Monitoring Network of Hong Kong,North Air Quality Monitoring Station,"19 Pak Wo Road, Sheung Shui, New Territories.",香港空氣質素監測網絡,北區空氣質素監測站,新界上水百和路19號,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=13,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=13,22.49669723,114.12824408,839678.0,831264.0,2020-07-10 03:31:56+00:00,2,POINT (114.128244 22.496697)
AQMN_tjF1Tb9jve,tjF1Tb9jve,Air Quality Monitoring Network of Hong Kong,Kwun Tong Air Quality Monitoring Station,"Kwun Tong Police Station, 9 Lei Yue Mun Road, Kwun Tong, Kowloon",香港空氣質素監測網絡,觀塘空氣質素監測站,觀塘警署九龍觀塘鯉魚門道九號,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=3,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=3,22.3096251,114.23117417,818962.6,841862.9,2020-03-11 01:15:15+00:00,3,POINT (114.231174 22.309625)
AQMN_W0REQxlUix,W0REQxlUix,Air Quality Monitoring Network of Hong Kong,Tseung Kwan O Air Quality Monitoring Station,"Tseung Kwan O Sports Centre, 9 Wan Lung Road, Tseung Kwan O, Sai Kung",香港空氣質素監測網絡,將軍澳空氣質素監測站,西貢將軍澳運隆路9號將軍澳體育館,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=7,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=7,22.31764241,114.25956137,819851.7,844787.3,2016-03-16 08:10:30+00:00,4,POINT (114.259561 22.317642)
AQMN_6u21kY0wcG,6u21kY0wcG,Air Quality Monitoring Network of Hong Kong,Tuen Mun Air Quality Monitoring Station,"Tuen Mun Public Library, 1 Tuen Hi Road, Tuen Mun, N.T.",香港空氣質素監測網絡,屯門空氣質素監測站,新界屯門屯喜路1號屯門公共圖書館,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=9,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=9,22.39114326,113.97672832,828002.2,815657.6,2014-11-04 08:26:22+00:00,5,POINT (113.976728 22.391143)
AQMN_Czccuzdsvl,Czccuzdsvl,Air Quality Monitoring Network of Hong Kong,Tung Chung Air Quality Monitoring Station,"Tung Chung Health Centre , 6 Fu Tung Street, Tung Chung, New Territories",香港空氣質素監測網絡,東涌空氣質素監測站,新界東涌富東街6號東涌健康院,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=10,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=10,22.28888887,113.94365902,816683.9,812234.7,2014-07-03 07:00:56+00:00,6,POINT (113.943659 22.288889)
AQMN_23iGMnvdOS,23iGMnvdOS,Air Quality Monitoring Network of Hong Kong,Eastern Air Quality Monitoring Station,"Sai Wan Ho Fire Station, 20 Wai Hang Street, Eastern, Hong Kong",香港空氣質素監測網絡,東區空氣質素監測站,香港東區惠亨街20號西灣河消防局,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=2,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=2,22.28288555,114.21937156,816001.2,840647.6,2014-01-08 01:59:30+00:00,7,POINT (114.219372 22.282886)
AQMN_PkYxtfmMW6,PkYxtfmMW6,Air Quality Monitoring Network of Hong Kong,Tap Mun Air Quality Monitoring Station,Tap Mun Police Post,香港空氣質素監測網絡,塔門空氣質素監測站,塔門警崗,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=14,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=14,22.47131669,114.3607185,836878.2,855188.8,2014-01-08 01:52:12+00:00,8,POINT (114.360719 22.471317)
AQMN_oWQpjuocoH,oWQpjuocoH,Air Quality Monitoring Network of Hong Kong,Kwai Chung Air Quality Monitoring Station,"Kwai Chung Police Station, 999 Kwai Chung Road, Kwai Chung, New Territories",香港空氣質素監測網絡,葵涌空氣質素監測站,新界葵涌葵涌道999號葵涌警署,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=5,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=5,22.35710398,114.12960136,824219.9,831398.8,2014-01-08 01:46:22+00:00,9,POINT (114.129601 22.357104)
AQMN_scowYQ2j3F,scowYQ2j3F,Air Quality Monitoring Network of Hong Kong,Yuen Long Air Quality Monitoring Station,"Yuen Long District Office Building, 269 Castle Peak Road, Yuen Long, New Territories",香港空氣質素監測網絡,元朗空氣質素監測站,新界元朗青山公路269號元朗民政事務處大廈,GENERAL MONITORING STATION,一般監測站,https://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations.html?mid=8,https://www.aqhi.gov.hk/en/aqhi/past-24-hours-aqhi.html?mid=8,22.44515508,114.02264888,833977.7,820392.5,2014-01-08 01:37:41+00:00,10,POINT (114.022649 22.445155)
