平均風速 (公里/小時) - 塔門東
Mean Wind Speed (km/h) - Tap Mun East
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2017,7,6,21.0,C
2017,7,7,15.7,C
2017,7,8,10.9,C
2017,7,9,13.6,C
2017,7,10,8.5,C
2017,7,11,10.3,C
2017,7,12,7.5,C
2017,7,13,15.2,C
2017,7,14,23.8,C
2017,7,15,26.7,C
2017,7,16,36.2,C
2017,7,17,22.7,C
2017,7,18,21.6,C
2017,7,19,11.8,C
2017,7,20,18.3,C
2017,7,21,22.9,C
2017,7,22,11.9,C
2017,7,23,22.4,C
2017,7,24,16.1,C
2017,7,25,13.5,C
2017,7,26,7.6,C
2017,7,27,18.2,C
2017,7,28,12.8,C
2017,7,29,5.4,C
2017,7,30,9.2,C
2017,7,31,14.5,C
2017,8,1,10.1,C
2017,8,2,4.5,#
2017,8,3,5.7,C
2017,8,4,5.8,C
2017,8,5,7.9,C
2017,8,6,4.7,C
2017,8,7,7.6,C
2017,8,8,9.8,C
2017,8,9,8.6,C
2017,8,10,6.7,#
2017,8,11,10.2,#
2017,8,12,11.4,C
2017,8,13,8.0,C
2017,8,14,8.2,C
2017,8,15,5.5,C
2017,8,16,5.0,#
2017,8,17,6.7,C
2017,8,18,7.4,C
2017,8,19,6.0,#
2017,8,20,5.7,C
2017,8,21,5.4,C
2017,8,22,8.9,C
2017,8,23,37.3,C
2017,8,24,18.3,C
2017,8,25,5.8,C
2017,8,26,11.5,C
2017,8,27,53.3,C
2017,8,28,15.0,C
2017,8,29,2.7,C
2017,8,30,3.7,C
2017,8,31,5.1,C
2017,9,1,6.7,C
2017,9,2,5.7,C
2017,9,3,9.5,C
2017,9,4,14.0,C
2017,9,5,8.4,C
2017,9,6,4.3,C
2017,9,7,6.0,C
2017,9,8,6.1,C
2017,9,9,7.0,C
2017,9,10,6.5,C
2017,9,11,6.1,C
2017,9,12,6.0,C
2017,9,13,16.7,C
2017,9,14,20.3,C
2017,9,15,7.3,C
2017,9,16,7.0,C
2017,9,17,6.8,C
2017,9,18,15.5,C
2017,9,19,19.1,C
2017,9,20,11.2,C
2017,9,21,9.1,C
2017,9,22,17.7,C
2017,9,23,21.8,C
2017,9,24,37.1,C
2017,9,25,25.3,C
2017,9,26,11.2,C
2017,9,27,5.7,C
2017,9,28,8.0,C
2017,9,29,25.4,C
2017,9,30,27.7,C
2017,10,1,27.7,C
2017,10,2,21.8,C
2017,10,3,14.4,C
